path image_quality killed_path_num overlength_path_num backward_path_num backward_hit_num forward_path_num forward_hit_num phase accuracy time
c-box_ADAPTIVE PTImageQuality.ADAPTIVE 0 0 21051599 21446228 73670850 44857346 97 9.310582022380059 66.941
c-box_MULTIPLE PTImageQuality.MULTIPLE 0 0 14127548 19356228 48894427 107270833 65 11.264575583071998 70.60799999999999
c-box2_ADAPTIVE PTImageQuality.ADAPTIVE 0 0 15896160 30418871 49316229 24465024 65 12.516624772326464 62.296
c-box2_MULTIPLE PTImageQuality.MULTIPLE 0 0 11922624 33391026 36421658 47657711 49 14.411468692743847 72.998
room2_ADAPTIVE PTImageQuality.ADAPTIVE 0 0 25079820 49737030 79314085 1754627 81 10.375377018664102 73.98799999999999
room2_MULTIPLE PTImageQuality.MULTIPLE 0 0 20133785 57880323 63189260 5919368 65 11.547920884291544 70.073
room2_HIGH_FREQUENCY_NOISE PTImageQuality.HIGH_FREQUENCY_NOISE 0 0 25166420 50354985 79724914 1754371 81 10.34365642665285 66.204
room2_LOW_FREQUENCY_NOISE PTImageQuality.LOW_FREQUENCY_NOISE 0 0 45459083 47730704 142474795 1039006 145 7.698849574940189 61.492
room2_TRUE_EDGE_EFFECTS PTImageQuality.TRUE_EDGE_EFFECTS 0 0 4949856 60825884 158547142 24115974 9 69.77426250653355 63.371
light_guides_ADAPTIVE PTImageQuality.ADAPTIVE 0 0 6656000 19393094 13711758 110362254 32 15.697721420917194 95.20499999999998
light_guides_MULTIPLE PTImageQuality.MULTIPLE 0 0 3354624 14073851 6153585 99287254 17 21.632684555079297 62.908
car_interior_ADAPTIVE PTImageQuality.ADAPTIVE 2 0 11491200 17269620 39079238 202108 47 13.314666784401208 70.587
car_interior_MULTIPLE PTImageQuality.MULTIPLE 4 0 11339200 24964398 39096529 1198354 47 13.325068791354825 79.115
interior1_ADAPTIVE PTImageQuality.ADAPTIVE 125404 0 8886528 16045457 28402937 8447362 17 22.18709845348965 64.389
interior1_MULTIPLE PTImageQuality.MULTIPLE 130693 0 8886528 26642494 26847218 50529027 17 22.19332414914643 93.742
